Date and Time Stamp,Tag,% Open
3/20/2017 20:08,Filter 6 dsh valve postion,81.87
3/20/2017 20:23,Filter 6 dsh valve postion,-0.05
3/20/2017 20:38,Filter 6 dsh valve postion,-0.045
3/20/2017 20:53,Filter 6 dsh valve postion,-0.04
3/20/2017 21:08,Filter 6 dsh valve postion,-0.035
3/20/2017 21:23,Filter 6 dsh valve postion,-0.06
3/20/2017 21:38,Filter 6 dsh valve postion,-0.025
3/20/2017 21:53,Filter 6 dsh valve postion,-0.05
3/20/2017 22:08,Filter 6 dsh valve postion,-0.02
3/20/2017 22:23,Filter 6 dsh valve postion,-0.02
3/20/2017 22:38,Filter 6 dsh valve postion,-0.03
3/20/2017 22:53,Filter 6 dsh valve postion,-0.03
3/20/2017 23:08,Filter 6 dsh valve postion,-0.035
3/20/2017 23:23,Filter 6 dsh valve postion,-0.03
3/20/2017 23:38,Filter 6 dsh valve postion,-0.03
3/20/2017 23:53,Filter 6 dsh valve postion,-0.015
3/21/2017 0:08,Filter 6 dsh valve postion,-0.04
3/21/2017 0:23,Filter 6 dsh valve postion,-0.02
3/21/2017 0:38,Filter 6 dsh valve postion,-0.015
3/21/2017 0:53,Filter 6 dsh valve postion,-0.035
3/21/2017 1:08,Filter 6 dsh valve postion,-0.015
3/21/2017 1:23,Filter 6 dsh valve postion,-0.03
3/21/2017 1:38,Filter 6 dsh valve postion,-0.045
3/21/2017 1:53,Filter 6 dsh valve postion,-0.05
3/21/2017 2:08,Filter 6 dsh valve postion,-0.02
3/21/2017 2:23,Filter 6 dsh valve postion,-0.035
3/21/2017 2:38,Filter 6 dsh valve postion,-0.01
3/21/2017 2:53,Filter 6 dsh valve postion,-0.015
3/21/2017 3:08,Filter 6 dsh valve postion,-0.05
3/21/2017 3:23,Filter 6 dsh valve postion,-0.05
3/21/2017 3:38,Filter 6 dsh valve postion,-0.025
3/21/2017 3:53,Filter 6 dsh valve postion,-0.025
3/21/2017 4:08,Filter 6 dsh valve postion,-0.015
3/21/2017 4:23,Filter 6 dsh valve postion,-0.025
3/21/2017 4:38,Filter 6 dsh valve postion,-0.03
3/21/2017 4:53,Filter 6 dsh valve postion,-0.015
3/21/2017 5:08,Filter 6 dsh valve postion,-0.035
3/21/2017 5:23,Filter 6 dsh valve postion,-0.02
3/21/2017 5:38,Filter 6 dsh valve postion,-0.035
3/21/2017 5:53,Filter 6 dsh valve postion,-0.01
3/21/2017 6:08,Filter 6 dsh valve postion,-0.02
3/21/2017 6:23,Filter 6 dsh valve postion,-0.035
